"gene_type"	"gene_name"
"lncRNA"	"HULC"
"lncRNA"	"AL137220.1"
"protein_coding"	"TFAP2A"
"lncRNA"	"TFAP2A-AS2"
"lncRNA"	"TFAP2A-AS1"
"lncRNA"	"AL138885.2"
"lncRNA"	"AL138885.3"
"lncRNA"	"LINC00518"
"lncRNA"	"MIR5689HG"
"lncRNA"	"LINC02522"
"protein_coding"	"GCNT2"
"lncRNA"	"AL139039.3"
"lncRNA"	"AL358777.1"
"protein_coding"	"C6orf52"
"protein_coding"	"PAK1IP1"
"protein_coding"	"TMEM14C"
"lncRNA"	"AL024498.1"
"protein_coding"	"TMEM14B"
"protein_coding"	"MAK"
"protein_coding"	"GCM2"
"lncRNA"	"AL357497.1"
"protein_coding"	"SYCP2L"
"protein_coding"	"ELOVL2"
"lncRNA"	"ELOVL2-AS1"
"protein_coding"	"SMIM13"
"protein_coding"	"ERVFRD-1"
"lncRNA"	"AL139807.1"
"protein_coding"	"NEDD9"
"lncRNA"	"AL022098.1"
"lncRNA"	"AL445430.2"
"lncRNA"	"AL445430.1"
"protein_coding"	"TMEM170B"
"lncRNA"	"AL357518.1"
"protein_coding"	"ADTRP"
"lncRNA"	"AL022724.3"
"lncRNA"	"AL022724.2"
"lncRNA"	"AL157373.1"
"lncRNA"	"AL157373.2"
"protein_coding"	"HIVEP1"
"protein_coding"	"EDN1"
"lncRNA"	"LINC02530"
"protein_coding"	"PHACTR1"
"lncRNA"	"AL008729.1"
"protein_coding"	"TBC1D7"
"lncRNA"	"AL008729.2"
"protein_coding"	"GFOD1"
"lncRNA"	"GFOD1-AS1"
"protein_coding"	"SIRT5"
"lncRNA"	"AL441883.1"
"protein_coding"	"NOL7"
"protein_coding"	"RANBP9"
"lncRNA"	"Z93020.1"
"protein_coding"	"MCUR1"
"lncRNA"	"AL023583.1"
"protein_coding"	"RNF182"
"lncRNA"	"AL022396.1"
"protein_coding"	"CD83"
"lncRNA"	"AL133259.1"
"lncRNA"	"AL353152.2"
"lncRNA"	"AL353152.1"
"lncRNA"	"LINC01108"
"lncRNA"	"AL080313.2"
"lncRNA"	"AL080313.1"
"lncRNA"	"AL009177.1"
"lncRNA"	"AL109914.1"
"lncRNA"	"AL138720.1"
"lncRNA"	"AL136162.1"
"protein_coding"	"JARID2"
"lncRNA"	"JARID2-AS1"
"protein_coding"	"DTNBP1"
"lncRNA"	"AL021978.1"
"lncRNA"	"LINC02543"
"protein_coding"	"MYLIP"
"protein_coding"	"GMPR"
"lncRNA"	"AL009031.1"
"protein_coding"	"ATXN1"
"lncRNA"	"AL137003.1"
"lncRNA"	"AL137003.2"
"lncRNA"	"AL133405.2"
"lncRNA"	"AL133405.1"
"lncRNA"	"AL138740.1"
"protein_coding"	"STMND1"
"lncRNA"	"AL136305.1"
"protein_coding"	"RBM24"
"protein_coding"	"CAP2"
"lncRNA"	"AL138824.1"
"protein_coding"	"FAM8A1"
"protein_coding"	"NUP153"
"lncRNA"	"AL138724.1"
"protein_coding"	"KIF13A"
"protein_coding"	"NHLRC1"
"protein_coding"	"TPMT"
"protein_coding"	"KDM1B"
"protein_coding"	"DEK"
"protein_coding"	"RNF144B"
"lncRNA"	"MIR548A1HG"
"lncRNA"	"AL357052.1"
"lncRNA"	"AL022068.1"
"protein_coding"	"ID4"
"lncRNA"	"AL022726.1"
"protein_coding"	"MBOAT1"
"lncRNA"	"AL158198.1"
"lncRNA"	"AL158198.2"
"lncRNA"	"AL132775.1"
"lncRNA"	"AL132775.2"
"protein_coding"	"E2F3"
"lncRNA"	"E2F3-IT1"
"protein_coding"	"CDKAL1"
"lncRNA"	"AL513188.1"
"lncRNA"	"AL451080.1"
"lncRNA"	"AL031767.1"
"lncRNA"	"AL031767.2"
"lncRNA"	"LINC00581"
"lncRNA"	"AL512380.1"
"lncRNA"	"AL512380.2"
"protein_coding"	"SOX4"
"lncRNA"	"CASC15"
"lncRNA"	"NBAT1"
"protein_coding"	"PRL"
"protein_coding"	"HDGFL1"
"lncRNA"	"AL033539.1"
"lncRNA"	"AL033539.2"
"lncRNA"	"AL035401.1"
"lncRNA"	"AL139231.1"
"protein_coding"	"NRSN1"
"protein_coding"	"DCDC2"
"protein_coding"	"KAAG1"
"protein_coding"	"MRS2"
"protein_coding"	"GPLD1"
"protein_coding"	"ALDH5A1"
"protein_coding"	"KIAA0319"
"protein_coding"	"TDP2"
"protein_coding"	"ACOT13"
"lncRNA"	"AL031775.1"
"protein_coding"	"C6orf62"
"lncRNA"	"AL031775.2"
"lncRNA"	"LINC02828"
"protein_coding"	"GMNN"
"protein_coding"	"ARMH2"
"protein_coding"	"RIPOR2"
"lncRNA"	"AL160400.1"
"lncRNA"	"AL133268.3"
"lncRNA"	"AL133268.2"
"lncRNA"	"AL133268.4"
"protein_coding"	"CARMIL1"
"lncRNA"	"AL022170.1"
"protein_coding"	"SCGN"
"protein_coding"	"HIST1H2AA"
"protein_coding"	"HIST1H2BA"
"protein_coding"	"SLC17A4"
"protein_coding"	"SLC17A1"
"protein_coding"	"SLC17A3"
"protein_coding"	"SLC17A2"
"protein_coding"	"TRIM38"
"lncRNA"	"U91328.2"
"lncRNA"	"U91328.1"
"lncRNA"	"U91328.3"
"protein_coding"	"HIST1H1A"
"protein_coding"	"HIST1H3A"
"protein_coding"	"HIST1H4A"
"protein_coding"	"HIST1H4B"
"protein_coding"	"HIST1H3B"
"protein_coding"	"HIST1H2AB"
"protein_coding"	"HIST1H2BB"
"protein_coding"	"HIST1H3C"
"protein_coding"	"HIST1H1C"
"protein_coding"	"HFE"
"protein_coding"	"HIST1H4C"
"protein_coding"	"HIST1H1T"
"protein_coding"	"HIST1H2BC"
"protein_coding"	"HIST1H2AC"
"protein_coding"	"HIST1H1E"
"protein_coding"	"HIST1H2BD"
"lncRNA"	"AL353759.1"
"protein_coding"	"HIST1H2BE"
"protein_coding"	"HIST1H4D"
"protein_coding"	"HIST1H3D"
"protein_coding"	"HIST1H2AD"
"protein_coding"	"HIST1H2BF"
"protein_coding"	"HIST1H4E"
"protein_coding"	"HIST1H2BG"
"protein_coding"	"HIST1H2AE"
"protein_coding"	"HIST1H3E"
"protein_coding"	"HIST1H1D"
"protein_coding"	"HIST1H4F"
"protein_coding"	"HIST1H4G"
"protein_coding"	"HIST1H3F"
"protein_coding"	"HIST1H2BH"
"protein_coding"	"HIST1H3G"
"protein_coding"	"HIST1H2BI"
"protein_coding"	"HIST1H4H"
"lncRNA"	"AL021917.1"
"protein_coding"	"BTN3A2"
"protein_coding"	"BTN2A2"
"protein_coding"	"BTN3A1"
"protein_coding"	"BTN3A3"
"protein_coding"	"BTN2A1"
"protein_coding"	"BTN1A1"
"lncRNA"	"HCG11"
"protein_coding"	"HMGN4"
"lncRNA"	"AL121936.1"
"protein_coding"	"ABT1"
"lncRNA"	"AL513548.3"
"protein_coding"	"ZNF322"
"lncRNA"	"AL513548.4"
"lncRNA"	"AL513548.1"
"lncRNA"	"LINC00240"
"lncRNA"	"AL133255.1"
"lncRNA"	"AL590062.1"
"lncRNA"	"AL021807.1"
"protein_coding"	"HIST1H2BJ"
"protein_coding"	"HIST1H2AG"
"protein_coding"	"HIST1H4I"
"protein_coding"	"HIST1H2BK"
"protein_coding"	"HIST1H2AH"
"protein_coding"	"PRSS16"
"protein_coding"	"POM121L2"
"protein_coding"	"ZNF391"
"lncRNA"	"AL031118.1"
"protein_coding"	"ZNF184"
"lncRNA"	"AL021918.4"
"lncRNA"	"AL021918.5"
"lncRNA"	"AL021918.3"
"lncRNA"	"AL009179.3"
"lncRNA"	"AL009179.1"
"lncRNA"	"AL009179.2"
"protein_coding"	"HIST1H2BL"
"protein_coding"	"HIST1H2AI"
"protein_coding"	"HIST1H3H"
"protein_coding"	"HIST1H2AJ"
"protein_coding"	"HIST1H2BM"
"protein_coding"	"HIST1H4J"
"protein_coding"	"HIST1H4K"
"protein_coding"	"HIST1H2BN"
"protein_coding"	"HIST1H2AK"
"protein_coding"	"HIST1H2AL"
"protein_coding"	"HIST1H1B"
"protein_coding"	"HIST1H3I"
"protein_coding"	"HIST1H4L"
"protein_coding"	"HIST1H3J"
"protein_coding"	"HIST1H2AM"
"protein_coding"	"HIST1H2BO"
"protein_coding"	"OR2B2"
"protein_coding"	"OR2B6"
"lncRNA"	"ZSCAN16-AS1"
"lncRNA"	"AL121944.1"
"protein_coding"	"ZNF165"
"protein_coding"	"ZSCAN16"
"lncRNA"	"AL358933.1"
"protein_coding"	"ZKSCAN8"
"protein_coding"	"ZSCAN9"
"protein_coding"	"ZKSCAN4"
"protein_coding"	"NKAPL"
"protein_coding"	"ZSCAN26"
"protein_coding"	"PGBD1"
"protein_coding"	"ZSCAN31"
"protein_coding"	"ZKSCAN3"
"protein_coding"	"ZSCAN12"
"protein_coding"	"ZSCAN23"
"lncRNA"	"Z98745.2"
"lncRNA"	"Z98745.1"
"protein_coding"	"GPX6"
"protein_coding"	"GPX5"
"protein_coding"	"ZBED9"
"lncRNA"	"AL049543.1"
"lncRNA"	"AL121932.2"
"lncRNA"	"LINC00533"
"lncRNA"	"AL662890.1"
"lncRNA"	"LINC01623"
"lncRNA"	"HCG14"
"protein_coding"	"TRIM27"
"lncRNA"	"LINC01556"
"lncRNA"	"HCG15"
"lncRNA"	"AL662791.1"
"protein_coding"	"ZNF311"
"lncRNA"	"AL662791.2"
"protein_coding"	"OR2W1"
"protein_coding"	"OR2B3"
"protein_coding"	"OR2J1"
"protein_coding"	"OR2J3"
"lncRNA"	"AL645937.2"
"lncRNA"	"AL645937.4"
"protein_coding"	"OR2J2"
"protein_coding"	"OR14J1"
"protein_coding"	"OR5V1"
"protein_coding"	"OR12D3"
"protein_coding"	"OR12D2"
"protein_coding"	"OR11A1"
"protein_coding"	"OR10C1"
"protein_coding"	"OR2H1"
"protein_coding"	"MAS1L"
"lncRNA"	"LINC02829"
"lncRNA"	"LINC01015"
"protein_coding"	"OR2I1P"
"protein_coding"	"UBD"
"protein_coding"	"GABBR1"
"protein_coding"	"OR2H2"
"protein_coding"	"MOG"
"protein_coding"	"ZFP57"
"protein_coding"	"HLA-F"
"lncRNA"	"HLA-F-AS1"
"lncRNA"	"AL645939.4"
"lncRNA"	"AL645939.5"
"protein_coding"	"HLA-G"
"lncRNA"	"AL645929.2"
"protein_coding"	"HLA-A"
"lncRNA"	"HCG9"
"protein_coding"	"ZNRD1"
"protein_coding"	"PPP1R11"
"protein_coding"	"RNF39"
"protein_coding"	"TRIM31"
"lncRNA"	"TRIM31-AS1"
"protein_coding"	"TRIM40"
"protein_coding"	"TRIM10"
"protein_coding"	"TRIM15"
"protein_coding"	"TRIM26"
"lncRNA"	"HCG17"
"lncRNA"	"HCG18"
"protein_coding"	"TRIM39"
"protein_coding"	"RPP21"
"lncRNA"	"AL662873.1"
"protein_coding"	"HLA-E"
"lncRNA"	"LINC02569"
"protein_coding"	"GNL1"
"protein_coding"	"PRR3"
"protein_coding"	"ABCF1"
"protein_coding"	"PPP1R10"
"protein_coding"	"MRPS18B"
"protein_coding"	"ATAT1"
"protein_coding"	"C6orf136"
"protein_coding"	"DHX16"
"protein_coding"	"PPP1R18"
"protein_coding"	"NRM"
"protein_coding"	"MDC1"
"lncRNA"	"MDC1-AS1"
"protein_coding"	"TUBB"
"lncRNA"	"AL662797.1"
"protein_coding"	"FLOT1"
"lncRNA"	"IER3-AS1"
"protein_coding"	"IER3"
"lncRNA"	"HCG20"
"lncRNA"	"LINC00243"
"lncRNA"	"LINC02570"
"lncRNA"	"DDR1-DT"
"protein_coding"	"DDR1"
"protein_coding"	"GTF2H4"
"protein_coding"	"VARS2"
"protein_coding"	"SFTA2"
"protein_coding"	"MUCL3"
"lncRNA"	"HCG21"
"protein_coding"	"MUC21"
"protein_coding"	"MUC22"
"lncRNA"	"HCG22"
"protein_coding"	"C6orf15"
"protein_coding"	"PSORS1C1"
"protein_coding"	"CDSN"
"protein_coding"	"PSORS1C2"
"protein_coding"	"CCHCR1"
"protein_coding"	"TCF19"
"protein_coding"	"POU5F1"
"lncRNA"	"PSORS1C3"
"lncRNA"	"AL662844.4"
"lncRNA"	"HCG27"
"lncRNA"	"AL662844.3"
"protein_coding"	"HLA-C"
"protein_coding"	"HLA-B"
"lncRNA"	"LINC02571"
"lncRNA"	"AL671883.3"
"lncRNA"	"AL645933.2"
"protein_coding"	"MICA"
"lncRNA"	"HCP5"
"lncRNA"	"LINC01149"
"lncRNA"	"AL645933.3"
"protein_coding"	"MICB"
"protein_coding"	"MCCD1"
"protein_coding"	"DDX39B"
"lncRNA"	"DDX39B-AS1"
"protein_coding"	"ATP6V1G2"
"protein_coding"	"NFKBIL1"
"protein_coding"	"LTA"
"protein_coding"	"TNF"
"protein_coding"	"LTB"
"protein_coding"	"LST1"
"protein_coding"	"NCR3"
"protein_coding"	"AIF1"
"protein_coding"	"PRRC2A"
"protein_coding"	"BAG6"
"protein_coding"	"APOM"
"protein_coding"	"C6orf47"
"lncRNA"	"C6orf47-AS1"
"protein_coding"	"GPANK1"
"protein_coding"	"CSNK2B"
"protein_coding"	"LY6G5B"
"protein_coding"	"LY6G5C"
"protein_coding"	"ABHD16A"
"protein_coding"	"LY6G6F"
"protein_coding"	"LY6G6E"
"protein_coding"	"LY6G6D"
"protein_coding"	"MPIG6B"
"protein_coding"	"LY6G6C"
"protein_coding"	"DDAH2"
"protein_coding"	"CLIC1"
"protein_coding"	"MSH5"
"protein_coding"	"SAPCD1"
"lncRNA"	"SAPCD1-AS1"
"protein_coding"	"VWA7"
"protein_coding"	"VARS"
"protein_coding"	"LSM2"
"protein_coding"	"HSPA1L"
"protein_coding"	"HSPA1A"
"protein_coding"	"HSPA1B"
"lncRNA"	"SNHG32"
"protein_coding"	"NEU1"
"protein_coding"	"SLC44A4"
"lncRNA"	"EHMT2-AS1"
"protein_coding"	"EHMT2"
"protein_coding"	"C2"
"protein_coding"	"ZBTB12"
"lncRNA"	"C2-AS1"
"protein_coding"	"CFB"
"protein_coding"	"NELFE"
"protein_coding"	"SKIV2L"
"protein_coding"	"DXO"
"protein_coding"	"STK19"
"protein_coding"	"C4A"
"lncRNA"	"C4A-AS1"
"protein_coding"	"C4B"
"lncRNA"	"C4B-AS1"
"protein_coding"	"CYP21A2"
"protein_coding"	"TNXB"
"lncRNA"	"AL662884.5"
"protein_coding"	"ATF6B"
"protein_coding"	"FKBPL"
"protein_coding"	"PRRT1"
"lncRNA"	"AL662884.3"
"protein_coding"	"PPT2"
"protein_coding"	"EGFL8"
"protein_coding"	"AGPAT1"
"protein_coding"	"RNF5"
"protein_coding"	"AGER"
"lncRNA"	"AL662884.1"
"protein_coding"	"PBX2"
"protein_coding"	"GPSM3"
"protein_coding"	"NOTCH4"
"lncRNA"	"TSBP1-AS1"
"protein_coding"	"TSBP1"
"protein_coding"	"BTNL2"
"protein_coding"	"HLA-DRA"
"protein_coding"	"HLA-DRB5"
"protein_coding"	"HLA-DRB1"
"protein_coding"	"HLA-DQA1"
"protein_coding"	"HLA-DQB1"
"lncRNA"	"HLA-DQB1-AS1"
"lncRNA"	"AL662789.1"
"protein_coding"	"HLA-DQA2"
"protein_coding"	"HLA-DQB2"
"protein_coding"	"HLA-DOB"
"protein_coding"	"TAP2"
"protein_coding"	"PSMB8"
"lncRNA"	"PSMB8-AS1"
"protein_coding"	"PSMB9"
"protein_coding"	"TAP1"
"protein_coding"	"HLA-DMB"
"protein_coding"	"HLA-DMA"
"protein_coding"	"BRD2"
"lncRNA"	"AL645941.1"
"lncRNA"	"AL645941.3"
"protein_coding"	"HLA-DOA"
"protein_coding"	"HLA-DPA1"
"protein_coding"	"HLA-DPB1"
"lncRNA"	"HCG24"
"protein_coding"	"COL11A2"
"protein_coding"	"RXRB"
"protein_coding"	"SLC39A7"
"protein_coding"	"HSD17B8"
"protein_coding"	"RING1"
"lncRNA"	"AL645940.1"
"lncRNA"	"HCG25"
"protein_coding"	"VPS52"
"protein_coding"	"RPS18"
"protein_coding"	"B3GALT4"
"protein_coding"	"WDR46"
"protein_coding"	"PFDN6"
"protein_coding"	"RGL2"
"protein_coding"	"TAPBP"
"protein_coding"	"ZBTB22"
"protein_coding"	"DAXX"
"protein_coding"	"SMIM40"
"protein_coding"	"KIFC1"
"protein_coding"	"PHF1"
"protein_coding"	"CUTA"
"protein_coding"	"SYNGAP1"
"lncRNA"	"SYNGAP1-AS1"
"protein_coding"	"ZBTB9"
"protein_coding"	"BAK1"
"lncRNA"	"LINC00336"
"protein_coding"	"ITPR3"
"protein_coding"	"UQCC2"
"protein_coding"	"IP6K3"
"protein_coding"	"LEMD2"
"protein_coding"	"MLN"
"lncRNA"	"AL138889.3"
"lncRNA"	"LINC01016"
"lncRNA"	"AL138889.1"
"protein_coding"	"GRM4"
"protein_coding"	"HMGA1"
"protein_coding"	"SMIM29"
"lncRNA"	"AL354740.1"
"protein_coding"	"NUDT3"
"protein_coding"	"RPS10-NUDT3"
"protein_coding"	"RPS10"
"protein_coding"	"PACSIN1"
"protein_coding"	"SPDEF"
"protein_coding"	"ILRUN"
"lncRNA"	"AL451165.2"
"protein_coding"	"SNRPC"
"protein_coding"	"UHRF1BP1"
"protein_coding"	"TAF11"
"protein_coding"	"ANKS1A"
"lncRNA"	"AL591002.1"
"protein_coding"	"TCP11"
"protein_coding"	"SCUBE3"
"lncRNA"	"Z97832.2"
"protein_coding"	"ZNF76"
"protein_coding"	"DEF6"
"protein_coding"	"PPARD"
"protein_coding"	"FANCE"
"protein_coding"	"RPL10A"
"protein_coding"	"TEAD3"
"protein_coding"	"TULP1"
"lncRNA"	"AL033519.4"
"protein_coding"	"FKBP5"
"lncRNA"	"AL033519.5"
"lncRNA"	"AL157823.2"
"protein_coding"	"ARMC12"
"protein_coding"	"CLPSL2"
"protein_coding"	"CLPSL1"
"protein_coding"	"CLPS"
"protein_coding"	"LHFPL5"
"protein_coding"	"SRPK1"
"protein_coding"	"SLC26A8"
"protein_coding"	"MAPK14"
"protein_coding"	"MAPK13"
"lncRNA"	"Z84485.1"
"protein_coding"	"BRPF3"
"protein_coding"	"PNPLA1"
"protein_coding"	"BNIP5"
"protein_coding"	"ETV7"
"lncRNA"	"Z84484.1"
"protein_coding"	"PXT1"
"protein_coding"	"KCTD20"
"protein_coding"	"STK38"
"protein_coding"	"SRSF3"
"lncRNA"	"PANDAR"
"protein_coding"	"CDKN1A"
"lncRNA"	"DINOL"
"protein_coding"	"RAB44"
"protein_coding"	"CPNE5"
"lncRNA"	"Z85996.2"
"lncRNA"	"Z85996.3"
"protein_coding"	"PPIL1"
"protein_coding"	"C6orf89"
"lncRNA"	"AL122034.1"
"protein_coding"	"PI16"
"protein_coding"	"MTCH1"
"protein_coding"	"FGD2"
"protein_coding"	"PIM1"
"protein_coding"	"TMEM217"
"protein_coding"	"AL353579.1"
"protein_coding"	"TBC1D22B"
"lncRNA"	"AL096712.2"
"protein_coding"	"RNF8"
"protein_coding"	"CMTR1"
"protein_coding"	"CCDC167"
"lncRNA"	"LINC02520"
"lncRNA"	"AL353597.1"
"protein_coding"	"MDGA1"
"lncRNA"	"AL121574.1"
"protein_coding"	"ZFAND3"
"protein_coding"	"BTBD9"
"lncRNA"	"BTBD9-AS1"
"protein_coding"	"GLO1"
"lncRNA"	"AL391415.1"
"protein_coding"	"DNAH8"
"lncRNA"	"AL034345.2"
"protein_coding"	"GLP1R"
"protein_coding"	"SAYSD1"
"protein_coding"	"KCNK5"
"protein_coding"	"KCNK17"
"protein_coding"	"KCNK16"
"protein_coding"	"KIF6"
"protein_coding"	"DAAM2"
"lncRNA"	"AL590999.1"
"protein_coding"	"MOCS1"
"lncRNA"	"AL139275.2"
"lncRNA"	"TDRG1"
"lncRNA"	"LINC00951"
"lncRNA"	"AL139275.1"
"protein_coding"	"LRFN2"
"lncRNA"	"AL359475.1"
"lncRNA"	"AL033380.1"
"lncRNA"	"AL583854.1"
"protein_coding"	"UNC5CL"
"protein_coding"	"OARD1"
"protein_coding"	"TSPO2"
"protein_coding"	"APOBEC2"
"protein_coding"	"NFYA"
"lncRNA"	"AL031778.1"
"protein_coding"	"TREML1"
"protein_coding"	"TREM2"
"protein_coding"	"TREML2"
"protein_coding"	"TREML4"
"protein_coding"	"TREM1"
"protein_coding"	"NCR2"
"lncRNA"	"FOXP4-AS1"
"lncRNA"	"LINC01276"
"protein_coding"	"FOXP4"
"protein_coding"	"MDFI"
"protein_coding"	"TFEB"
"lncRNA"	"AL035588.1"
"protein_coding"	"PGC"
"lncRNA"	"AL365205.4"
"protein_coding"	"FRS3"
"protein_coding"	"PRICKLE4"
"protein_coding"	"TOMM6"
"protein_coding"	"USP49"
"lncRNA"	"AL365205.3"
"lncRNA"	"AL160163.1"
"protein_coding"	"MED20"
"protein_coding"	"BYSL"
"protein_coding"	"CCND3"
"lncRNA"	"AL513008.1"
"protein_coding"	"TAF8"
"lncRNA"	"AL512274.1"
"protein_coding"	"C6orf132"
"protein_coding"	"GUCA1A"
"protein_coding"	"AL096814.2"
"protein_coding"	"AL096814.1"
"protein_coding"	"GUCA1B"
"protein_coding"	"MRPS10"
"protein_coding"	"TRERF1"
"protein_coding"	"UBR2"
"protein_coding"	"PRPH2"
"protein_coding"	"TBCC"
"protein_coding"	"BICRAL"
"protein_coding"	"RPL7L1"
"protein_coding"	"C6orf226"
"lncRNA"	"AL035587.3"
"protein_coding"	"PTCRA"
"lncRNA"	"AL035587.2"
"protein_coding"	"CNPY3"
"lncRNA"	"AL035587.1"
"protein_coding"	"GNMT"
"protein_coding"	"PEX6"
"protein_coding"	"PPP2R5D"
"protein_coding"	"MEA1"
"protein_coding"	"KLHDC3"
"protein_coding"	"RRP36"
"lncRNA"	"AL136304.1"
"protein_coding"	"CUL7"
"protein_coding"	"KLC4"
"protein_coding"	"MRPL2"
"lncRNA"	"AL355385.1"
"protein_coding"	"PTK7"
"protein_coding"	"SRF"
"protein_coding"	"CUL9"
"lncRNA"	"AL133375.1"
"protein_coding"	"DNPH1"
"protein_coding"	"TTBK1"
"protein_coding"	"SLC22A7"
"protein_coding"	"CRIP3"
"protein_coding"	"ZNF318"
"lncRNA"	"AL359813.1"
"lncRNA"	"AL359813.2"
"protein_coding"	"ABCC10"
"protein_coding"	"DLK2"
"protein_coding"	"TJAP1"
"protein_coding"	"LRRC73"
"protein_coding"	"POLR1C"
"protein_coding"	"YIPF3"
"lncRNA"	"AL355802.3"
"protein_coding"	"XPO5"
"protein_coding"	"POLH"
"lncRNA"	"POLH-AS1"
"protein_coding"	"GTPBP2"
"protein_coding"	"MAD2L1BP"
"protein_coding"	"RSPH9"
"protein_coding"	"MRPS18A"
"lncRNA"	"AL136131.2"
"protein_coding"	"VEGFA"
"lncRNA"	"AL136131.3"
"lncRNA"	"AL157371.2"
"lncRNA"	"LINC02537"
"lncRNA"	"AL157371.1"
"lncRNA"	"AL109615.3"
"protein_coding"	"C6orf223"
"lncRNA"	"AL109615.2"
"lncRNA"	"AL109615.4"
"protein_coding"	"MRPL14"
"protein_coding"	"TMEM63B"
"protein_coding"	"CAPN11"
"protein_coding"	"MYMX"
"protein_coding"	"SLC29A1"
"protein_coding"	"HSP90AB1"
"protein_coding"	"SLC35B2"
"protein_coding"	"NFKBIE"
"protein_coding"	"TMEM151B"
"protein_coding"	"TCTE1"
"protein_coding"	"AARS2"
"protein_coding"	"SPATS1"
"protein_coding"	"CDC5L"
"lncRNA"	"AL136140.1"
"lncRNA"	"AL133334.1"
"protein_coding"	"SUPT3H"
"protein_coding"	"RUNX2"
"lncRNA"	"AL096865.1"
"lncRNA"	"RUNX2-AS1"
"protein_coding"	"CLIC5"
"lncRNA"	"AL035701.1"
"protein_coding"	"ENPP4"
"protein_coding"	"ENPP5"
"protein_coding"	"RCAN2"
"lncRNA"	"AL035670.1"
"protein_coding"	"CYP39A1"
"protein_coding"	"SLC25A27"
"lncRNA"	"AL591242.1"
"protein_coding"	"TDRD6"
"protein_coding"	"PLA2G7"
"protein_coding"	"ANKRD66"
"lncRNA"	"AL161618.1"
"protein_coding"	"MEP1A"
"protein_coding"	"ADGRF5"
"lncRNA"	"AL096772.1"
"protein_coding"	"ADGRF1"
"protein_coding"	"TNFRSF21"
"lncRNA"	"AL451166.1"
"lncRNA"	"AL355353.1"
"protein_coding"	"CD2AP"
"protein_coding"	"ADGRF2"
"protein_coding"	"ADGRF4"
"lncRNA"	"AL356421.2"
"protein_coding"	"OPN5"
"protein_coding"	"PTCHD4"
"lncRNA"	"AL353138.1"
"lncRNA"	"AL391538.1"
"protein_coding"	"MMUT"
"protein_coding"	"CENPQ"
"protein_coding"	"GLYATL3"
"protein_coding"	"C6orf141"
"protein_coding"	"RHAG"
"protein_coding"	"CRISP2"
"lncRNA"	"AL121974.1"
"protein_coding"	"CRISP3"
"protein_coding"	"PGK2"
"lncRNA"	"AL359458.1"
"protein_coding"	"CRISP1"
"protein_coding"	"DEFB133"
"protein_coding"	"DEFB114"
"protein_coding"	"DEFB113"
"protein_coding"	"DEFB110"
"protein_coding"	"DEFB112"
"lncRNA"	"AL138826.1"
"lncRNA"	"AL132799.1"
"lncRNA"	"AL360175.1"
"lncRNA"	"AL135908.1"
"protein_coding"	"TFAP2D"
"protein_coding"	"TFAP2B"
"lncRNA"	"AL355997.1"
"protein_coding"	"PKHD1"
"lncRNA"	"LINCMD1"
"protein_coding"	"IL17A"
"protein_coding"	"IL17F"
"protein_coding"	"MCM3"
"protein_coding"	"PAQR8"
"protein_coding"	"EFHC1"
"protein_coding"	"TRAM2"
"lncRNA"	"TRAM2-AS1"
"protein_coding"	"TMEM14A"
"protein_coding"	"GSTA2"
"protein_coding"	"GSTA1"
"protein_coding"	"GSTA5"
"protein_coding"	"GSTA3"
"protein_coding"	"GSTA4"
"protein_coding"	"ICK"
"protein_coding"	"FBXO9"
"lncRNA"	"AL512347.1"
"protein_coding"	"GCM1"
"protein_coding"	"ELOVL5"
"lncRNA"	"AL034374.1"
"protein_coding"	"GCLC"
"lncRNA"	"AL033397.2"
"lncRNA"	"AL033397.1"
"lncRNA"	"LINC01564"
"protein_coding"	"KLHL31"
"lncRNA"	"AL590652.1"
"protein_coding"	"LRRC1"
"lncRNA"	"AL033384.2"
"protein_coding"	"MLIP"
"lncRNA"	"AL033384.1"
"lncRNA"	"MLIP-AS1"
"lncRNA"	"MLIP-IT1"
"lncRNA"	"AL359380.1"
"protein_coding"	"TINAG"
"lncRNA"	"AL589946.1"
"lncRNA"	"AL512363.1"
"protein_coding"	"FAM83B"
"lncRNA"	"AL049555.1"
"protein_coding"	"HCRTR2"
"protein_coding"	"GFRAL"
"protein_coding"	"HMGCLL1"
"protein_coding"	"BMP5"
"protein_coding"	"COL21A1"
"lncRNA"	"AL031779.1"
"protein_coding"	"DST"
"lncRNA"	"AL512422.1"
"protein_coding"	"BEND6"
"protein_coding"	"KIAA1586"
"protein_coding"	"ZNF451"
"lncRNA"	"ZNF451-AS1"
"protein_coding"	"BAG2"
"protein_coding"	"RAB23"
"protein_coding"	"PRIM2"
"lncRNA"	"FO680682.1"
"lncRNA"	"AL021368.3"
"lncRNA"	"AL021368.5"
"lncRNA"	"AL021368.1"
"lncRNA"	"AL021368.2"
"lncRNA"	"AL445250.1"
"lncRNA"	"AL590227.1"
"lncRNA"	"AL512427.2"
"lncRNA"	"KHDRBS2-OT"
"protein_coding"	"KHDRBS2"
"lncRNA"	"AL355347.1"
"protein_coding"	"FKBP1C"
"protein_coding"	"LGSN"
"protein_coding"	"PTP4A1"
"lncRNA"	"AL135905.1"
"protein_coding"	"AL135905.2"
"protein_coding"	"PHF3"
"protein_coding"	"EYS"
"lncRNA"	"SCAT8"
"lncRNA"	"AL357375.1"
"lncRNA"	"AL713998.1"
"lncRNA"	"AL713998.3"
